trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.3, 'e': 0.8096121282623018}",30,5,-100.94783922965871,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",1
89,False,"{'a': 0.3, 'e': 0.8076713889731739}",20,2,-61.184681289623576,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.3, 'e': 0.8057353018734796}",25,0,-108.64933550711196,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.3, 'e': 0.8038038558113519}",25,0,-153.40221677163558,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
92,False,"{'a': 0.3, 'e': 0.8018770396616559}",20,0,-132.6729974912518,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
93,False,"{'a': 0.3, 'e': 0.7999548423259255}",25,0,-98.82221569084244,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
94,False,"{'a': 0.3, 'e': 0.7980372527322985}",25,0,-44.68230274771052,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.3, 'e': 0.7961242598354538}",20,0,-21.736680433061206,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.3, 'e': 0.7942158526165467}",25,0,-78.75783110164397,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.3, 'e': 0.7923120200831466}",20,0,-84.83510216174588,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.7904127512691728}",35,0,-281.9982078832314,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 5}",0
99,False,"{'a': 0.3, 'e': 0.7885180352348315}",25,0,-91.8491520480094,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.3, 'e': 0.7866278610665535}",30,13,-13.832728100350959,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.7847422178769299}",20,7,-57.358755242893395,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.3, 'e': 0.7828610948046509}",25,0,-84.12225141881282,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.7809844810144426}",20,0,-5.8176582593861035,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.3, 'e': 0.7791123656970042}",30,0,-216.1407063857171,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
105,False,"{'a': 0.3, 'e': 0.7772447380689461}",25,0,-94.64673456126744,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.3, 'e': 0.7753815873727284}",20,0,-174.03531258803577,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
107,False,"{'a': 0.3, 'e': 0.7735229028765976}",20,0,-114.08200264187622,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.3, 'e': 0.7716686738745262}",25,0,-106.24081950831962,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
109,False,"{'a': 0.3, 'e': 0.7698188896861496}",20,0,-81.59121724802907,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.3, 'e': 0.7679735396567062}",20,9,-38.70266349920483,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.7661326131569745}",25,0,-100.42094193468218,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.3, 'e': 0.7642960995832127}",20,0,-18.268834176411495,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.3, 'e': 0.7624639883570975}",25,0,-37.93283186455063,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.7606362689256635}",25,0,-125.47093284599109,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.3, 'e': 0.7588129307612415}",20,0,-98.77799394756595,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
116,False,"{'a': 0.3, 'e': 0.7569939633613986}",35,0,-168.40352563653795,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
117,False,"{'a': 0.3, 'e': 0.7551793562488776}",20,0,-31.828792390554543,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.3, 'e': 0.7533690989715365}",30,18,-40.74099149342183,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.3, 'e': 0.7515631811022884}",20,0,-198.57648844776153,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 5}",0
120,False,"{'a': 0.3, 'e': 0.7497615922390413}",25,0,-42.41277413948066,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.3, 'e': 0.7479643220046385}",20,0,-71.77302350724428,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
122,False,"{'a': 0.3, 'e': 0.7461713600467985}",30,18,-33.26343479005662,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.7443826960380553}",20,10,10.174951455290184,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.7425983196756993}",25,0,-32.35935885202177,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
125,False,"{'a': 0.3, 'e': 0.7408182206817179}",35,0,-88.98983858244279,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
126,False,"{'a': 0.3, 'e': 0.7390423888027358}",30,10,-86.88353983933087,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
127,False,"{'a': 0.3, 'e': 0.7372708138099564}",30,0,-110.4091578552817,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.735503485499103}",20,2,-18.80653595733122,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.7337403936903597}",20,0,-35.39646058432459,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
